Bilibili有声漫画总集 敔信收录,,,,,,,,,,,,,,,,,,,
"表头声明：此表格为敔信个人，使用人工为主、采集器为辅的方式收集制作。数据参照各视频及下方简介提供的信息，如有侵权信息，请联系删除。序号是按录入顺序排序。人工收集完善中，如有错漏之处恳请指出，感谢理解。此表格免费提供，请保留收集者信息。仅供个人或如QQ群聊等小范围学习交流使用，允许有声漫画译者在其与有声漫画相关的内容中使用，请勿用于其他未许可用途，请勿用于商业用途（表格内已列出的UP主使用除外）。请勿篡改表格信息。需要充电的视频，请谨慎消费，此表不构成消费建议，不承担相关责任。如有侵权，请联系删除。对此表格的最终解释权归敔信所有。如有能力，请支持有声漫画原作者。请支持有声漫画翻译者。
您可以在链接https://yuxin26.lanzoul.com/b00wnd09ba 密码：1234 获取表格源文件，https://www.kdocs.cn/l/csyFz3aAKxde 获取最新的表格。联系方式：B站：敔信（1764312492）；微信公众号：敔信杂谈；A站：敔信  (73668148)；邮箱：xinfenggroup26@126.com",,,,,,,,,"此文件版本及发布日期：
2026年4月4日 源文件版",,收集进度表,,,,授权使用表,,,,
序号,原视频标题,原视频链接,原视频作者,翻译视频标题(黑字熟肉红字生肉),翻译视频链接,译者（UID）,发布日期,备注,备注,,译者（UID）排名不分先后,进度,备注,,授权人士（UID）,备注,备注,,
1,【漫画】昼休み喫茶店で偶然仕事で恐れられてる女上司出会い相席になった俺。気まずい空気の中でSNSを確認したら「片想い中の後輩とカフェなう♡」というつぶやきが写真付きで流れてきて..などの総集編,https://www.youtube.com/watch?v=LF9EiDAFgs0,サルベド漫画,【有声漫画/总集篇】午休咖啡馆与敬畏的女上司拼桌。尴尬中刷SNS，竟见她刚发的推文：“此刻正和暗恋的后辈在咖啡馆呢♡”…等故事精选集,https://www.bilibili.com/video/BV1kxhKzmEj3,敔信（1764312492）,2025/8/3,,,,敔信（1764312492）,已完成,,,"七羽_MqyGalaxy
（147114872）blog.moeqy.com",https://bilivmanga.moeqy.com/,,,
2,誰にも心を許さないトップアイドルに清掃員の俺だけが素っ気ない態度を取り続けたら俺に靡いた【漫画】,https://www.youtube.com/watch?v=b9SnyJwkzdc,サルベド漫画,【有声漫画】对谁都不敞开心扉的顶级偶像，唯独对我这个冷淡态度的清洁工倾心了,https://www.bilibili.com/video/BV1VhtoziEJY,敔信（1764312492）,2025/8/13,,,,使六币而不出名（443015978）,已完成,,,,,,,
3,【漫画】いつも俺の部屋に平気で来る幼馴染。ある日、酔った幼馴染が俺にプロレス技を仕掛け失神レベルになり翌朝「き、昨日私..なんかした？」衣服の乱れから幼馴染が勘違いし...,https://www.youtube.com/watch?v=rxVrGY1Rzuo,サルベド漫画,【有声漫画】青梅竹马总擅自来我房间。她某日醉酒后竟用摔跤技将我打晕，次日醒来因衣衫不整而误会了我,https://www.bilibili.com/video/BV1SsCSBhEhd,敔信（1764312492）,2025/11/16,,,,暗恋神明的平凡英治（310731741）,已完成,,,,,,,
4,【漫画】「私と付き合えるかな？」握手会で推しのアイドルと交際の約束した俺。彼女が所属するグループの他のメンバーの握手券を大量に購入したら、推しにバレて嫉妬された「他の子も口説くつもりなんだ？」,https://www.youtube.com/watch?v=zbw-tn1_AJM,カノンの恋愛漫画【結城カノン】,【有声漫画】和偶像约好交往的我，买其他成员握手券被抓包！「还想追别人？」(又名:我们推的粉丝),https://www.bilibili.com/video/BV1gheAzbEh3,敔信（1764312492）,2025/8/19,,,,白Y吃橘子（234462511）,已完成,,,,,,,
5,【漫画】人前ではクールな彼女は、誰もいないところで…,https://www.youtube.com/watch?v=Kxle0ALGTII,,【有声漫画】三句话，驯服我的病娇女友,https://www.bilibili.com/video/BV1Xp4y177i5,使六币而不出名（443015978）,2023/8/26,,,,科技烤桃子专用号（3632307835505024）,已完成,,,,,,,
6,【漫画】疎遠だった幼馴染の頼みでAIチャットアプリの開発に協力することに。AIの中の人が幼馴染でデレデレしてた【恋愛漫画】【馴れ初め】【ラブコメ】,https://www.youtube.com/watch?v=EyP00wL_QVI,絵鳩ウタのボイコミクンダ-ランド【恋愛ラプコメ漫画】,【有声漫画】疏远青梅竹马后，被她用AI形象，顺利成功与我全垒打,https://www.bilibili.com/video/BV1Gp4y1E7BL,使六币而不出名（443015978）,2023/8/26,,,,蜡笔ギガ（46008862）,已完成,,,,,,,
7,【漫画】バイト先に常連でやってくる美女。実は毎日狙った時間にお店に来る俺のネットスト-カ-で…,https://www.youtube.com/watch?v=ilp8HN31Tw8,,【有声漫画】网上病娇开我盒，天天线下狙击我…,https://www.bilibili.com/video/BV1wh4y1S7W1,使六币而不出名（443015978）,2023/8/27,,,,蓝色的好橙子（27106707）,已完成,,,,,,,
8,【漫画】弟にはめられて冷徹な氷の令嬢と見合い→婿になって氷もとけるラブラブ夫婦に【恋愛漫画】【ラブコメ】【胸キュン】【恋愛スカッと】,https://www.youtube.com/watch?v=-tvtVlYsuI0,,【有声漫画】弟弟抢走属于我的位置，我直接化身龙王赘婿,https://www.bilibili.com/video/BV1TN4y1R7jQ,使六币而不出名（443015978）,2023/8/27,,,,とがねはら-まい（488508853）,已完成,,,,,,,
